,dealer_name,tel,fax,mail,web,types,address,province,postcode
0,ร้านอนันต์สุขสม,075 611483,-,-,-,สีพ่นซ่อมรถยนตร์,241/2  ต.ปากน้ำ อ. เมืองกระบี่  จ.กระบี่    81000 ,กระบี่,81000
1,ร้านแสงชัยเทรดดิ้ง,075 634169,-,-,-,สีพ่นซ่อมรถยนตร์,124/5   หมู่ 7 ต. อ่าวลึกใต้ อ. อ่าวลึก  จ.กระบี่    81110 ,กระบี่,81110
2,ศรีมุขกระบี่,075 664294,075 664294,-,-,สีพ่นซ่อมรถยนตร์,13/10   ถ.ศรีพังงา  ต. กระบี่ใหญ่     อ. เมืองกระบี่  จ.กระบี่    81000 ,กระบี่,81000
3,ร้านช.คาร์เพ้นท์,02 946-0793 ,02 946-1050,-,-,สีพ่นซ่อมรถยนตร์,40/584 ม.10  ถ.นวลจันทร์ เขตบึงกุ่ม  จ.กรุงเทพมหานคร    10230 ,กรุงเทพมหานคร,10230
4,ร้านชอฮวด,02 211-9870,-,-,-,สีพ่นซ่อมรถยนตร์,1223/3  ถ.จันทน์  แขวงทุ่งวัดดอน เขตสาทร  จ.กรุงเทพมหานคร    10120 ,กรุงเทพมหานคร,10120
5,บริษัท อาร์. ซี. อาร์. เคหะภัณฑ์ จำกัด,02 411-3526,02 412-6100,-,-,สีพ่นซ่อมรถยนตร์,112/25  ถ.จรัลสนิทวงศ์ เขตบางกอกน้อย  จ.กรุงเทพมหานคร    10700 ,กรุงเทพมหานคร,10700
6,บริษัท สีทองรุ่งโรจน์ จำกัด,02 311-3187 ,02  332-2764,-,-,สีพ่นซ่อมรถยนตร์,1529 ถ.อ่อนนุช  แขวงสวนหลวง เขตสวนหลวง  จ.กรุงเทพมหานคร    10250 ,กรุงเทพมหานคร,10250
7,บริษัท ไทยนครพัฒนา (1982)จำกัด,02 377-0737 ,02 377-2812,-,-,สีพ่นซ่อมรถยนตร์,516-518  ถ.รามคำแหง  แขวงหัวหมาก เขตบางกะปิ  จ.กรุงเทพมหานคร    10240 ,กรุงเทพมหานคร,10240
8,บริษัท ไทยโนวาเพนท์ แอนด์เคมิคอลส์ จำกัด,02 989-1193,02 989-0391,-,-,สีพ่นซ่อมรถยนตร์,22/14  หมู่ที่ 5 เขตมีนบุรี  จ.กรุงเทพมหานคร    10510 ,กรุงเทพมหานคร,10510
9,บริษัท ยิ่งเจริญสหกิจ จำกัด,02 4230156,-,-,-,สีพ่นซ่อมรถยนตร์,472 ถ.จรัญสนิทวงศ์ แขวงบางยี่ขัน แขวงบางยี่ขัน  เขตบางพลัด  จ.กรุงเทพมหานคร    10700 ,กรุงเทพมหานคร,10700
